#TYPE System.Management.Automation.PSCustomObject
"ComputerName","Caption","Name","CPUCores","CPUCount","CurrentClockSpeed","RAMBanks","TotalRAM","Manufacturer","Speed","HDCount","HDCaption","Size","Interface","MediaType","Partitions","NICDescription","IPAddress","MACAddress","NetworkSpeed","DHCPEnabled","AdapterType","NetConnectionID","DefaultGateway","DNSDomain","VideoCaption","AdapterRAM","BitsPerPixel","HorizontalResolution","VerticalResolution","RefreshRate","OSCaption","OSVersion","OSServicePack","ComputerManufacturer","ComputerModel","SerialNumber","BIOSManufacturer","UUID"
"Workstation1","Intel64 Family 6 Model 42 Stepping 7","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","2","1","3392","1","4096",,,"1","VMware, VMware Virtual S SCSI Disk Device","64420392960","SCSI","Fixed hard disk media","2","Intel(R) PRO/1000 MT Network Connection","10.1.1.1","00:0C:29:65:2B:81","1000000000","False",,"Ethernet",,,"VMware SVGA 3D (Microsoft Corporation - WDDM)","134217728",,,,,"Microsoft Windows 8 Enterprise","6.2.9200","0","VMware, Inc.","VMware Virtual Platform","VMware-56 4d 87 f8 13 78 09 88-23 58 9f a8 fa 65 2b 81",,"F8874D56-7813-8809-2358-9FA8FA652B81"
"Workstation2","Intel64 Family 6 Model 42 Stepping 7","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","2","1","3392","1","4096",,,"1","VMware, VMware Virtual S SCSI Disk Device","64420392960","SCSI","Fixed hard disk media","2","Intel(R) PRO/1000 MT Network Connection","10.1.1.2","00:0C:29:DB:FF:0A","1000000000","False",,"Ethernet",,,"VMware SVGA 3D (Microsoft Corporation - WDDM)","134217728",,,,,"Microsoft Windows 8 Enterprise","6.2.9200","0","VMware, Inc.","VMware Virtual Platform","VMware-56 4d 98 a6 e2 07 72 ce-ba 5f ab 05 10 db ff 0a",,"A6984D56-07E2-CE72-BA5F-AB0510DBFF0A"
"Workstation3","Intel64 Family 6 Model 42 Stepping 7","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","2","1","3392","1","4096",,,"1","VMware, VMware Virtual S SCSI Disk Device","64420392960","SCSI","Fixed hard disk media","2","Intel(R) PRO/1000 MT Network Connection","10.1.1.3","00:0C:29:E9:25:06","1000000000","False",,"Ethernet",,,"VMware SVGA 3D (Microsoft Corporation - WDDM)","134217728",,,,,"Microsoft Windows 8 Enterprise","6.2.9200","0","VMware, Inc.","VMware Virtual Platform","VMware-56 4d 09 de 50 3a d8 8e-47 60 4d 9b b3 e9 25 06",,"DE094D56-3A50-8ED8-4760-4D9BB3E92506"
"Workstation4","Intel64 Family 6 Model 42 Stepping 7","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","2","1","3392","1","4096",,,"1","VMware, VMware Virtual S SCSI Disk Device","64420392960","SCSI","Fixed hard disk media","2","Intel(R) PRO/1000 MT Network Connection","10.1.1.4","00:0C:29:07:A2:AA","1000000000","False",,"Ethernet",,,"VMware SVGA 3D (Microsoft Corporation - WDDM)","134217728",,,,,"Microsoft Windows 8 Enterprise","6.2.9200","0","VMware, Inc.","VMware Virtual Platform","VMware-56 4d 44 79 f0 bc 77 ab-33 37 e2 e3 1c 07 a2 aa",,"79444D56-BCF0-AB77-3337-E2E31C07A2AA"
"Workstation5","Intel64 Family 6 Model 42 Stepping 7","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","2","1","3392","1","4096",,,"1","VMware, VMware Virtual S SCSI Disk Device","64420392960","SCSI","Fixed hard disk media","2","Intel(R) PRO/1000 MT Network Connection","10.1.1.5","00:0C:29:E0:4B:D6","1000000000","False",,"Ethernet",,,"VMware SVGA 3D (Microsoft Corporation - WDDM)","134217728",,,,,"Microsoft Windows 8 Enterprise","6.2.9200","0","VMware, Inc.","VMware Virtual Platform","VMware-56 4d da 21 4c d3 0d 9a-64 96 b7 c4 ef e0 4b d6",,"21DA4D56-D34C-9A0D-6496-B7C4EFE04BD6"
"Workstation6","Intel64 Family 6 Model 42 Stepping 7","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","2","1","3392","1","4096",,,"1","VMware, VMware Virtual S SCSI Disk Device","64420392960","SCSI","Fixed hard disk media","2","Intel(R) PRO/1000 MT Network Connection","10.1.1.6","00:0C:29:FF:B9:42","1000000000","False",,"Ethernet",,,"VMware SVGA 3D (Microsoft Corporation - WDDM)","134217728",,,,,"Microsoft Windows 8 Enterprise","6.2.9200","0","VMware, Inc.","VMware Virtual Platform","VMware-56 4d 8d f5 c7 1c 2b 61-c8 ab 7f cf 17 ff b9 42",,"F58D4D56-1CC7-612B-C8AB-7FCF17FFB942"
"Workstation7","Intel64 Family 6 Model 42 Stepping 7","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","2","1","3392","1","4096",,,"1","VMware, VMware Virtual S SCSI Disk Device","64420392960","SCSI","Fixed hard disk media","2","Intel(R) PRO/1000 MT Network Connection","10.1.1.7","00:0C:29:ED:9D:A7","1000000000","False",,"Ethernet",,,"VMware SVGA 3D (Microsoft Corporation - WDDM)","134217728",,,,,"Microsoft Windows 8 Enterprise","6.2.9200","0","VMware, Inc.","VMware Virtual Platform","VMware-56 4d a7 22 bd 73 b0 16-ec 9e b2 60 d7 ed 9d a7",,"22A74D56-73BD-16B0-EC9E-B260D7ED9DA7"
"Workstation8","Intel64 Family 6 Model 42 Stepping 7","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","2","1","3392","1","4096",,,"1","VMware, VMware Virtual S SCSI Disk Device","64420392960","SCSI","Fixed hard disk media","2","Intel(R) PRO/1000 MT Network Connection","10.1.1.8","00:0C:29:99:02:9A","1000000000","False",,"Ethernet",,,"VMware SVGA 3D (Microsoft Corporation - WDDM)","134217728",,,,,"Microsoft Windows 8 Enterprise","6.2.9200","0","VMware, Inc.","VMware Virtual Platform","VMware-56 4d 7d 88 d2 c9 cb b9-f9 fb a1 0d 6f 99 02 9a",,"887D4D56-C9D2-B9CB-F9FB-A10D6F99029A"
"Workstation9","Intel64 Family 6 Model 42 Stepping 7","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","2","1","3392","1","4096",,,"1","VMware, VMware Virtual S SCSI Disk Device","64420392960","SCSI","Fixed hard disk media","2","Intel(R) PRO/1000 MT Network Connection","10.1.1.9","00:0C:29:BD:D3:7D","1000000000","False",,"Ethernet",,,"VMware SVGA 3D (Microsoft Corporation - WDDM)","134217728",,,,,"Microsoft Windows 8 Enterprise","6.2.9200","0","VMware, Inc.","VMware Virtual Platform","VMware-56 4d d5 22 ec 31 c3 14-0d 59 de 05 83 bd d3 7d",,"22D54D56-31EC-14C3-0D59-DE0583BDD37D"
"Workstation10","Intel64 Family 6 Model 42 Stepping 7","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","2","1","3392","1","4096",,,"1","VMware, VMware Virtual S SCSI Disk Device","64420392960","SCSI","Fixed hard disk media","2","Intel(R) PRO/1000 MT Network Connection","10.1.1.10","00:0C:29:6B:49:78","1000000000","False",,"Ethernet",,,"VMware SVGA 3D (Microsoft Corporation - WDDM)","134217728",,,,,"Microsoft Windows 8 Enterprise","6.2.9200","0","VMware, Inc.","VMware Virtual Platform","VMware-56 4d e6 be 34 fe fa 13-0b 28 75 7e 04 6b 49 78",,"BEE64D56-FE34-13FA-0B28-757E046B4978"
